DATE,PCE_PC1
2019-01-01,3.38704
2019-02-01,3.26010
2019-03-01,3.62858
2019-04-01,3.48388
2019-05-01,3.33256
2019-06-01,3.42729
2019-07-01,3.55497
2019-08-01,3.47044
2019-09-01,3.55527
2019-10-01,3.24691
2019-11-01,3.20043
2019-12-01,4.53682
2020-01-01,4.53371
2020-02-01,4.75985
2020-03-01,-3.00552
2020-04-01,-15.34549
2020-05-01,-8.32769
2020-06-01,-3.05427
2020-07-01,-1.51021
2020-08-01,-0.92635
2020-09-01,0.49686
2020-10-01,0.49402
2020-11-01,-0.36130
2020-12-01,-0.80399
2021-01-01,1.38097
2021-02-01,0.38889
2021-03-01,13.13270
2021-04-01,30.04536
2021-05-01,20.09612
2021-06-01,14.51193
2021-07-01,12.63378
2021-08-01,12.49373
2021-09-01,11.55225
2021-10-01,12.63221
2021-11-01,13.71403
2021-12-01,13.39158
2022-01-01,12.01029
2022-02-01,13.48294
2022-03-01,9.18811
2022-04-01,8.92914
2022-05-01,9.27961
2022-06-01,9.25621
2022-07-01,8.59189
2022-08-01,8.49870
